☘️广东频道,#genre#
潮州综合,http://183.239.108.37:1698/hls/8/index.m3u8
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101
潮州综合,http://211.97.63.3:3443/hls/503/index.m3u8
潮州综合,http://45.192.97.170:8880/play/628.m3u8
潮州综合,http://183.30.202.254:8000/udp/239.253.43.70:5146
潮州综合,http://45.192.97.170:8880/play/606.m3u8
潮州综合,http://45.192.97.170:8880/play/416.m3u8
潮州民生,http://183.239.108.37:1698/hls/9/index.m3u8
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101
潮州民生,http://45.192.97.170:8880/play/607.m3u8
潮州民生,http://45.192.97.170:8880/play/629.m3u8
潮州民生,http://183.51.190.232:6633/udp/239.253.43.75:5146
汕头综合,http://183.239.108.37:1698/hls/3/index.m3u8
汕头综合,http://cziptv.gordon.dpdns.org/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
汕头综合,http://211.97.63.3:3443/hls/40/index.m3u8
汕头综合,http://45.192.97.170:8880/play/641.m3u8
汕头综合,http://45.192.97.170:8880/play/619.m3u8
汕头经济,http://211.97.63.3:3443/hls/501/index.m3u8
汕头经济,http://183.239.108.37:1698/hls/4/index.m3u8
汕头经济,http://cziptv.gordon.dpdns.org/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
汕头经济,http://211.97.63.3:3443/hls/41/index.m3u8
汕头经济,http://45.192.97.170:8880/play/642.m3u8
汕头经济,http://45.192.97.170:8880/play/620.m3u8
汕头经济,http://45.192.97.170:8880/play/430.m3u8
揭阳生活,http://183.239.108.37:1698/hls/7/index.m3u8
揭阳生活,http://211.97.63.3:3443/hls/37/index.m3u8
揭阳综合,http://183.239.108.37:1698/hls/6/index.m3u8
揭阳综合,http://cziptv.gordon.dpdns.org/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
揭阳综合,http://211.97.63.3:3443/hls/36/index.m3u8
揭阳综合,http://45.192.97.170:8880/play/625.m3u8
揭阳综合,http://45.192.97.170:8880/play/603.m3u8
揭阳综合,http://183.30.202.254:8000/udp/239.77.0.229:5146
广东少儿,http://183.239.108.37:1698/hls/17/index.m3u8
广东少儿,http://45.192.97.170:8880/play/584.m3u8
广东珠江,http://221.229.212.86:14909
广东珠江,http://183.239.108.37:1698/hls/13/index.m3u8
广东珠江,http://cziptv.gordon.dpdns.org/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
广东珠江,http://45.192.97.170:8880/play/1293.m3u8
广东珠江,http://45.192.97.170:8880/play/1271.m3u8
广东珠江,http://45.192.97.170:8880/play/599.m3u8
广东珠江,http://45.192.97.170:8880/play/624.m3u8
广东珠江,http://45.192.97.170:8880/play/646.m3u8
广东珠江,http://45.192.97.170:8880/play/577.m3u8
广东卫视,http://139.155.89.87:1000/608831231
广东卫视,http://183.239.108.37:1698/hls/2/index.m3u8
